ModuleId,ModuleCode,ModuleTitle,FheqLevel,ModuleSchoolCode,Optional,Compulsory,Core,StageFrom,ProgrammeId,SchoolId,ProgrammeCode,ProgrammeTitle,ProgrammeSchoolCode,ProgrammeSchoolName,FacultyId
111351,ACC2002,Managerial and Business Economics,5,D-NUBS,1,0,0,3,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
111480,BUS1001,Introduction to Management and Organisation,4,D-NUBS,0,1,0,1,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
111787,ECO1010,Mathematics for Economics,4,D-NUBS,1,0,0,1,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
111788,ECO1017,Introductory  Economics,4,D-NUBS,1,0,0,2,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
112501,NCL3007,Career Development for final year students,6,S-SASCS,1,0,0,3,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
112874,ACC1000,Introduction to Non-Specialist Accounting and Finance,4,D-NUBS,1,0,0,1,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
112877,ACC2000,Interpreting Company Accounts,5,D-NUBS,1,0,0,2,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
112878,ACC3000,"Case Studies in Finance, Accounting and Business",6,D-NUBS,1,0,0,3,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
112886,BUS2000,Human Resource Management,5,D-NUBS,0,1,0,2,2590,279,G500,BSc Hons Information Systems,D-COMP,Computing,6
111351,ACC2002,Managerial and Business Economics,5,D-NUBS,1,0,0,4,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
111480,BUS1001,Introduction to Management and Organisation,4,D-NUBS,0,1,0,1,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
111787,ECO1010,Mathematics for Economics,4,D-NUBS,1,0,0,1,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
111788,ECO1017,Introductory  Economics,4,D-NUBS,1,0,0,2,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
112501,NCL3007,Career Development for final year students,6,S-SASCS,1,0,0,4,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
112874,ACC1000,Introduction to Non-Specialist Accounting and Finance,4,D-NUBS,1,0,0,1,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
112877,ACC2000,Interpreting Company Accounts,5,D-NUBS,1,0,0,2,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
112878,ACC3000,"Case Studies in Finance, Accounting and Business",6,D-NUBS,1,0,0,4,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
112886,BUS2000,Human Resource Management,5,D-NUBS,0,1,0,2,2593,279,G504,BSc Hons Information Systems  (Ind P),D-COMP,Computing,6
